,Unnamed: 0,comment
289,289,"we made it kak tasyiiiiiiiiii. happy for youuuu...... argghhh dari jaman rambut masih pirang i nonton loh wkwkwkkw yok bisaa 5 juta subs 8juts subs 10juta subsss. mari kita rayakan setiap momentnya lavvvvv~~~~ btw i salah satu yg survive menghadapi gerd berkat video crystalline, secinta itu semua informasi dari video kak tasyiiiii."
290,290,Selamat atas trending 1 nya🎉🎉
291,291,❤❤❤
292,292,"Ka taciii keren banget trending 1, selamat ya kaa ❤"
293,293,waah trending 1🎉
294,294,Subtitlenya pas di menit akhir error kak 😂
295,295,🎉 ternding 1
296,296,"Congratss ka tasyi, tranding 1 🎉🎉🎉"
297,297,"Wihh keren bgt ka tasyi trending 1 woii, finallyyy yeayy"
298,298,We Made It
299,299,you deserve it kk tasyi❤ we made it🥰🔥🔥🔥🔥
300,300,semangat tasyiiiii❤
301,301,Congrats ka tasyi 🎉🎉
302,302,Gilee trending 1
303,303,Kak tasyi battle IKAN SARDEN dongss🎉🎉🎉❤❤❤
304,304,KA TASYII UDAH PERNAH BATTLE NUGGET BELUM? COBA BATTLE NUGGET DONG KAKKK
305,305,Wow trending 1🎉
306,306,CONGRATS TRENDING 1
307,307,"Ka kalau review makanan gojek, review flanana pisang ka, enak ka banana nuggetnya"
308,308,Ada recap nya ga sih ?
309,309,We Made it
310,310,Trending 1 menyalah banget ❤️‍🔥
311,311,we made it kakk
312,312,"Tranding 1 ,maasyaaAllah ❤"
313,313,kunafa sama kataifi itu sama?
314,314,"Wihhhh, kak tranding satu lohh"
315,315,We made it
316,316,Trending 1😊
317,317,Slmt KK tranding 1❤🎉🎉🎉
318,318,aaaa akun nya ketemu lagii udah lama kangen liat bettle nyaa tapi lupa akun nyaa😓
319,319,WE MADE IT
320,320,"Waaaah kak tasyi tranding 1, congrats kak ❤"
321,321,keren kak saya jadi gk sedih ma beli no 2 murah kali
322,322,"We Made it 💞💞💞💞💞
Congratulation kaaa bisa tranding 1"
323,323,We made it!!!
324,324,WE MADE IT❤❤❤🎉🎉🎉
325,325,Menyala kak Tasyi🔥 trending 1
